hcpcs_code,total_unique_beneficiaries,total_paid
0141U,235,1090.63
0488U,12,1062.81
90833GT,33,1046.15
T105,158,1039.32
OP999,43,1024.75
0456U,65,999
90834GT,14,987.84
72046,67,971.55
W4212,233,946.8
3IC11,502,882.46
ATP20,321,873.9
0092A,129,847.91
Z4313,29,826.79
Y9167,295,823.33
ATP21,284,804.96
0107U,269,798.44
PT819,101,768
95833,49,742.17
0098U,1393,724.59
0113A,18,724.3
X3904,38424,713.32
GO463,59,712.39
OP403,12,699.25
APT14,52,686.34
W4670,65,660
0663T,38,576.05
0044A,16,560
M0953,12,548.32
00039,13,547.15
J4390,24,540.75
OP274,273,536.73
80154,14,519.48
D0000,502,519
X6661,50,505.92
G9141,55,487.56
J7603,242,479.63
X3906,2485,461.72
83840,14,458.64
0093A,108,446.3
82145,14,436.54
0167U,175,431.42
X6720,14,421.12
88888,71,414.95
W7021,38,412.83
GO467,12,390.18
00028,12,379.61
82649,14,361.14
CR199,127,328.39
0121U,785,310.61
94662,127,306.74
0641T,166,297.01
78205,26,296.96
Q3014GT,12,295.08
82646,14,290.03
94620,15,279.77
82742,14,277.94
83805,14,247.52
0031U,588,240.48
0030U,83,236.03
APT03,28,234.08
82520,14,212.81
PNLTY,16,180
90785GT,19,162.97
WA060,14,152.11
OP771,27,145.35
00092,41,145.18
APT06,12,139.74
APT08,12,139.2
0032U,637,120.24
99321,16,117.6
0061U,355,110.44
91314,1227,70.38
G0001,335,69.81
D0096,18,62.84
99332,254,62.7
0642T,56,54.1
888888,23388,30
0052U,609,23.75
OP290,147,20.87
0351U,12,18.56
W7020,45,17.13
90645,2984,15.49
0441U,138,9.76
OP257,46,8.06
XZERO,1043,6.99
91316,758,4.96
H004022,216,3.48
0311U,82,3.24
99311,94,1.26
HH023,1543,1
1AHKS,206,0.26
-,44,0
0,314,0
00018,184566,0
0005A,15,0
0009M,48,0
001,30,0
00111,15,0
0014A,30,0
0021A,17,0
0022A,84,0
00250,38,0
0029U,44,0
0033U,214,0
00511,12,0
0068U,43,0
0078U,15,0
00CH0,12,0
00CV0,121,0
00IM0,76,0
01,1412,0
01206,13,0
0122U,784,0
0123U,694,0
0143U,17,0
0144U,14,0
0148U,36,0
0166U,225,0
01715,32,0
018,1059,0
02024,24,0
0210U,85,0
02211,148,0
0226U,41,0
023,14,0
02404,121,0
02414,366,0
0250R,17805,0
0258R,828,0
0259R,2034,0
0270R,5526,0
0271R,751,0
0272R,5207,0
03,59267,0
0361U,26,0
0370R,2453,0
0422U,12,0
0427U,750,0
05983,227,0
0621R,66,0
0637R,4506,0
0710R,2773,0
0915R,27,0
092015,12,0
09920,12,0
0V000,45,0
1,97,0
10316,346,0
10366,277,0
110,42,0
11135,14,0
11256,1145,0
11266,2575,0
11586,4379,0
11596,14154,0
11706,4426,0
1396Z,16,0
15850,57,0
18,516965,0
1AFK1,1254,0
1AGK1,39,0
1AGKS,45,0
1AGLS,13,0
1BA11,264,0
1BC11,14,0
1BFK1,56,0
1BHK1,13,0
1BHKS,303,0
1BHKT,36,0
1BHMS,14,0
1CA11,76,0
1CA21,53,0
1CHK1,492,0
1CHK2,13,0
1CHKS,878,0
1CHKT,236,0
1CHKU,24,0
1CHL1,15,0
1CHLS,12,0
1EA11,620,0
1HB11,76,0
1HC11,80,0
1HC21,26,0
1IA11,139,0
1JA11,42,0
1KA11,14,0
1MOFU,53,0
1UPLL,30,0
1WKFU,376,0
20199,38,0
24241,12,0
2700A,15,0
2700B,16,0
2AFLT,13,0
2BFKS,58,0
2CA21,55,0
2EA11,13,0
2EC11,12,0
2HA11,53,0
2HA21,26,0
2HB21,41,0
2HC21,74,0
2WKFU,242,0
30086,5052,0
30446,162,0
30746,4338,0
30756,965,0
30776,2061,0
30786,5838,0
30796,1669,0
30806,372,0
3AA11,702,0
3AB21,80,0
3AC11,57,0
3BA11,288,0
3BC11,14,0
3BHK1,28,0
3CA11,417,0
3CA21,245,0
3CA31,265,0
3CC11,86,0
3CC21,343,0
3CC31,530,0
3E03329,25,0
3EA11,1298,0
3EA21,109,0
3EB11,95,0
3EB21,24,0
3EC21,312,0
3FA11,7615,0
3FA21,1222,0
3FA31,15,0
3FB11,148,0
3FC11,12,0
3GA11,17,0
3HA21,1341,0
3HC11,1166,0
3HC21,709,0
3IA11,2713,0
3IA21,830,0
3IB21,42,0
3IC21,373,0
3JA11,155,0
3KA11,163,0
3LA11,117,0
4002F,12,0
